date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:28	26954/26954	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2019%20Sep%202018%2004:38:10%20GMT	https://gigm.com/ScriptResource.axd?d=nv7asgRUU0tRmHNR2D6t1NHUkirEynY3P1i6EhC187aeyaPlg9ti58g2EfbBv2Q9jcWKW0Ix4F1ptz4GNUPV25IsuK4hjwV_gMEtthiyEP0uRtQ1J_SDz23oGfrtxJqHg-W6ktFBNOonhD5H47XcHQ2&t=ffffffffa83fb62f	C:/My%20Web%20Sites/travel/gigm.com/ScriptResource37ce.js	(from https://gigm.com/Default.aspx)
16:29:30	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2019%20Sep%202018%2002:10:43%20GMT	https://gigm.com/ScriptResource.axd?d=NJmAwtEo3Ipnlaxl6CMhvrwP4_3ybYf6sz-u76qNrsrkqiihlW6albLedUbX7qNtx1CQic7j57ADVvg9Xu-tEskkxto4xZ_IFomb5zeMHhzjjHHa75kt51Pfo9Ws6yb0GKdIrUr1G0b2KtcxD9Vbu_U2GHy8TQr14h-vnZIynZE1&t=ffffffffad4b7194	C:/My%20Web%20Sites/travel/gigm.com/ScriptResource3e7e.js	(from https://gigm.com/Default.aspx)
16:29:32	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2015%20Sep%202018%2005:25:21%20GMT	https://gigm.com/ScriptResource.axd?d=dwY9oWetJoJoVpgL6Zq8OMxErQ8tGk0O4_O78tyXp6ZtsHw_SZ1iXBtKb_mWmS4BR11hxwA8btz1xDYxL1_LFMVXU8AWwhfSz9YhUL8Bz_kvxfxm7n89UOKGEUvSJ_qikAAFx2pmbt-flus0L5uKw3rI68ubmmfvIkIbQcWGMew1&t=ffffffffad4b7194	C:/My%20Web%20Sites/travel/gigm.com/ScriptResource7b61.js	(from https://gigm.com/Default.aspx)
16:29:33	4790/4790	---M--	200	added ('OK')	image/png	etag:%2276629735746fd31:0%22	https://gigm.com/webassets/img/gigm-logo.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/gigm-logo.png	(from https://gigm.com/Default.aspx)
16:29:36	41251/41251	---M--	200	added ('OK')	image/png	etag:%223e6b8335746fd31:0%22	https://gigm.com/webassets/img/asaba.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/asaba.png	(from https://gigm.com/Default.aspx)
16:29:37	41010/41010	---M--	200	added ('OK')	image/png	etag:%22cf08935746fd31:0%22	https://gigm.com/webassets/img/enugu.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/enugu.png	(from https://gigm.com/Default.aspx)
16:29:38	51597/51597	---M--	200	added ('OK')	image/png	etag:%224c0aa35746fd31:0%22	https://gigm.com/webassets/img/ph.png	C:/My%20Web%20Sites/travel/gigm.com/webassets/img/ph.png	(from https://gigm.com/Default.aspx)
16:29:39	43382/43382	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:41%20GMT	https://gigm.com/Learning-Academy.aspx	C:/My%20Web%20Sites/travel/gigm.com/Learning-Academy.html	(from https://gigm.com/Default.aspx)
16:29:40	146096/146096	---M--	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:40%20GMT	https://gigm.com/	C:/My%20Web%20Sites/travel/gigm.com/index.html	(from https://gigm.com/Default.aspx)
16:29:42	43942/43942	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:44%20GMT	https://gigm.com/Travels-Tours.aspx	C:/My%20Web%20Sites/travel/gigm.com/Travels-Tours.html	(from https://gigm.com/Default.aspx)
16:29:43	43689/43689	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:46%20GMT	https://gigm.com/Safety.aspx	C:/My%20Web%20Sites/travel/gigm.com/Safety.html	(from https://gigm.com/Default.aspx)
16:29:46	61669/61669	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Sep%202018%2015:29:47%20GMT	https://gigm.com/hire-vehicle.aspx	C:/My%20Web%20Sites/travel/gigm.com/hire-vehicle.html	(from https://gigm.com/Default.aspx)
